# Cross sections for Co
# Converted from earlier Leiden database cross sections by Alan Heays 2016-02-24
# Photoionisation source: Co  PHOTOIONIZATION
# Lines represented with lorentzian of width 0.0005 nm FWHM
# wavelength: (nm)
# photoabsorption:    cross section (cm2)
# photoionisation:    cross section (cm2)
# 
# wavelength   photoabsorption   photoionisation
 127.8000000       2.80200e-19       2.80200e-19
 127.9000000       2.82568e-19       2.82568e-19
 128.0000000       2.84935e-19       2.84935e-19
 128.1000000       2.87303e-19       2.87303e-19
 128.2000000       2.89670e-19       2.89670e-19
 128.3000000       2.92038e-19       2.92038e-19
 128.4000000       2.94405e-19       2.94405e-19
 128.5000000       2.96773e-19       2.96773e-19
 128.6000000       2.99140e-19       2.99140e-19
 128.7000000       3.01508e-19       3.01508e-19
 128.8000000       3.03875e-19       3.03875e-19
 128.9000000       3.06243e-19       3.06243e-19
 129.0000000       3.08610e-19       3.08610e-19
 129.1000000       3.10977e-19       3.10977e-19
 129.2000000       3.13345e-19       3.13345e-19
 129.3000000       3.15712e-19       3.15712e-19
 129.4000000       3.18080e-19       3.18080e-19
 129.5000000       3.20447e-19       3.20447e-19
 129.6000000       3.22815e-19       3.22815e-19
 129.7000000       3.25182e-19       3.25182e-19
 129.8000000       3.27550e-19       3.27550e-19
 129.9000000       3.29917e-19       3.29917e-19
 130.0000000       3.32285e-19       3.32285e-19
 130.1000000       3.34652e-19       3.34652e-19
 130.2000000       3.37020e-19       3.37020e-19
 130.3000000       3.39387e-19       3.39387e-19
 130.4000000       3.41755e-19       3.41755e-19
 130.5000000       3.44122e-19       3.44122e-19
 130.6000000       3.46489e-19       3.46489e-19
 130.7000000       3.48857e-19       3.48857e-19
 130.8000000       3.51224e-19       3.51224e-19
 130.9000000       3.53592e-19       3.53592e-19
 131.0000000       3.55959e-19       3.55959e-19
 131.1000000       3.58327e-19       3.58327e-19
 131.2000000       3.60694e-19       3.60694e-19
 131.3000000       3.63062e-19       3.63062e-19
 131.4000000       3.65429e-19       3.65429e-19
 131.5000000       3.67797e-19       3.67797e-19
 131.6000000       3.70164e-19       3.70164e-19
 131.7000000       3.72532e-19       3.72532e-19
 131.8000000       3.74899e-19       3.74899e-19
 131.9000000       3.77267e-19       3.77267e-19
 132.0000000       3.79634e-19       3.79634e-19
 132.1000000       3.82001e-19       3.82001e-19
 132.2000000       3.84369e-19       3.84369e-19
 132.3000000       3.86736e-19       3.86736e-19
 132.4000000       3.89104e-19       3.89104e-19
 132.5000000       3.91471e-19       3.91471e-19
 132.6000000       3.93839e-19       3.93839e-19
 132.7000000       3.96206e-19       3.96206e-19
 132.8000000       3.98574e-19       3.98574e-19
 132.9000000       4.00941e-19       4.00941e-19
 133.0000000       4.03309e-19       4.03309e-19
 133.1000000       4.05676e-19       4.05676e-19
 133.2000000       4.08044e-19       4.08044e-19
 133.3000000       4.10411e-19       4.10411e-19
 133.4000000       4.12779e-19       4.12779e-19
 133.5000000       4.15146e-19       4.15146e-19
 133.6000000       4.17513e-19       4.17513e-19
 133.7000000       4.19881e-19       4.19881e-19
 133.8000000       4.22248e-19       4.22248e-19
 133.9000000       4.24616e-19       4.24616e-19
 134.0000000       4.26983e-19       4.26983e-19
 134.1000000       4.29351e-19       4.29351e-19
 134.2000000       4.31718e-19       4.31718e-19
 134.3000000       4.34086e-19       4.34086e-19
 134.4000000       4.36453e-19       4.36453e-19
 134.5000000       4.38821e-19       4.38821e-19
 134.6000000       4.41188e-19       4.41188e-19
 134.7000000       4.43556e-19       4.43556e-19
 134.8000000       4.45923e-19       4.45923e-19
 134.9000000       4.48290e-19       4.48290e-19
 135.0000000       4.50658e-19       4.50658e-19
 135.1000000       4.53025e-19       4.53025e-19
 135.2000000       4.55393e-19       4.55393e-19
 135.3000000       4.57760e-19       4.57760e-19
 135.4000000       4.60128e-19       4.60128e-19
 135.5000000       4.62495e-19       4.62495e-19
 135.6000000       4.64863e-19       4.64863e-19
 135.7000000       4.67230e-19       4.67230e-19
 135.8000000       4.69598e-19       4.69598e-19
 135.9000000       4.71965e-19       4.71965e-19
 136.0000000       4.74333e-19       4.74333e-19
 136.1000000       4.76700e-19       4.76700e-19
 136.2000000       4.79068e-19       4.79068e-19
 136.3000000       4.81435e-19       4.81435e-19
 136.4000000       4.83802e-19       4.83802e-19
 136.5000000       4.86170e-19       4.86170e-19
 136.6000000       4.88537e-19       4.88537e-19
 136.7000000       4.90905e-19       4.90905e-19
 136.8000000       4.93272e-19       4.93272e-19
 136.9000000       4.95640e-19       4.95640e-19
 137.0000000       4.98007e-19       4.98007e-19
 137.1000000       5.00375e-19       5.00375e-19
 137.2000000       5.02742e-19       5.02742e-19
 137.3000000       5.05110e-19       5.05110e-19
 137.4000000       5.07477e-19       5.07477e-19
 137.5000000       5.09845e-19       5.09845e-19
 137.6000000       5.12212e-19       5.12212e-19
 137.7000000       5.14580e-19       5.14580e-19
 137.8000000       5.17762e-19       5.17762e-19
 137.9000000       5.22130e-19       5.22130e-19
 138.0000000       5.26509e-19       5.26509e-19
 138.1000000       5.30887e-19       5.30887e-19
 138.2000000       5.35266e-19       5.35266e-19
 138.3000000       5.39645e-19       5.39645e-19
 138.4000000       5.44023e-19       5.44023e-19
 138.5000000       5.48402e-19       5.48402e-19
 138.6000000       5.52780e-19       5.52780e-19
 138.7000000       5.57159e-19       5.57159e-19
 138.8000000       5.61538e-19       5.61538e-19
 138.9000000       5.65916e-19       5.65916e-19
 139.0000000       5.70295e-19       5.70295e-19
 139.1000000       5.74674e-19       5.74674e-19
 139.2000000       5.79052e-19       5.79052e-19
 139.3000000       5.83431e-19       5.83431e-19
 139.4000000       5.87810e-19       5.87810e-19
 139.5000000       5.92188e-19       5.92188e-19
 139.6000000       5.96567e-19       5.96567e-19
 139.7000000       6.00945e-19       6.00945e-19
 139.8000000       6.05324e-19       6.05324e-19
 139.9000000       6.09703e-19       6.09703e-19
 140.0000000       6.14081e-19       6.14081e-19
 140.1000000       6.18460e-19       6.18460e-19
 140.2000000       6.22839e-19       6.22839e-19
 140.3000000       6.27217e-19       6.27217e-19
 140.4000000       6.31596e-19       6.31596e-19
 140.5000000       6.35974e-19       6.35974e-19
 140.6000000       6.40353e-19       6.40353e-19
 140.7000000       6.44732e-19       6.44732e-19
 140.8000000       6.49110e-19       6.49110e-19
 140.9000000       6.53489e-19       6.53489e-19
 141.0000000       6.57868e-19       6.57868e-19
 141.1000000       6.62246e-19       6.62246e-19
 141.2000000       6.66625e-19       6.66625e-19
 141.3000000       6.71003e-19       6.71003e-19
 141.4000000       6.75382e-19       6.75382e-19
 141.5000000       6.79761e-19       6.79761e-19
 141.6000000       6.84139e-19       6.84139e-19
 141.7000000       6.88518e-19       6.88518e-19
 141.8000000       6.92897e-19       6.92897e-19
 141.9000000       6.97275e-19       6.97275e-19
 142.0000000       7.01654e-19       7.01654e-19
 142.1000000       7.06033e-19       7.06033e-19
 142.2000000       7.10411e-19       7.10411e-19
 142.3000000       7.14790e-19       7.14790e-19
 142.4000000       7.19168e-19       7.19168e-19
 142.5000000       7.23547e-19       7.23547e-19
 142.6000000       7.27926e-19       7.27926e-19
 142.7000000       7.32304e-19       7.32304e-19
 142.8000000       7.36683e-19       7.36683e-19
 142.9000000       7.41062e-19       7.41062e-19
 143.0000000       7.45440e-19       7.45440e-19
 143.1000000       7.49819e-19       7.49819e-19
 143.2000000       7.54197e-19       7.54197e-19
 143.3000000       7.58576e-19       7.58576e-19
 143.4000000       7.62955e-19       7.62955e-19
 143.5000000       7.67333e-19       7.67333e-19
 143.6000000       7.71712e-19       7.71712e-19
 143.7000000       7.76091e-19       7.76091e-19
 143.8000000       7.80469e-19       7.80469e-19
 143.9000000       7.84848e-19       7.84848e-19
 144.0000000       7.89226e-19       7.89226e-19
 144.1000000       7.93605e-19       7.93605e-19
 144.2000000       7.97984e-19       7.97984e-19
 144.3000000       8.02362e-19       8.02362e-19
 144.4000000       8.06741e-19       8.06741e-19
 144.5000000       8.11120e-19       8.11120e-19
 144.6000000       8.15498e-19       8.15498e-19
 144.7000000       8.19877e-19       8.19877e-19
 144.8000000       8.24256e-19       8.24256e-19
 144.9000000       8.28634e-19       8.28634e-19
 145.0000000       8.33013e-19       8.33013e-19
 145.1000000       8.37391e-19       8.37391e-19
 145.2000000       8.41770e-19       8.41770e-19
 145.3000000       8.46149e-19       8.46149e-19
 145.4000000       8.50527e-19       8.50527e-19
 145.5000000       8.54906e-19       8.54906e-19
 145.6000000       8.59285e-19       8.59285e-19
 145.7000000       8.63663e-19       8.63663e-19
 145.8000000       8.68042e-19       8.68042e-19
 145.9000000       8.72420e-19       8.72420e-19
 146.0000000       8.76799e-19       8.76799e-19
 146.1000000       8.81178e-19       8.81178e-19
 146.2000000       8.85556e-19       8.85556e-19
 146.3000000       8.89935e-19       8.89935e-19
 146.4000000       8.94314e-19       8.94314e-19
 146.5000000       8.98692e-19       8.98692e-19
 146.6000000       9.03071e-19       9.03071e-19
 146.7000000       9.07449e-19       9.07449e-19
 146.8000000       9.11828e-19       9.11828e-19
 146.9000000       9.16207e-19       9.16207e-19
 147.0000000       9.20585e-19       9.20585e-19
 147.1000000       9.24964e-19       9.24964e-19
 147.2000000       9.29343e-19       9.29343e-19
 147.3000000       9.33721e-19       9.33721e-19
 147.4000000       9.38100e-19       9.38100e-19
 147.5000000       9.42479e-19       9.42479e-19
 147.6000000       9.46857e-19       9.46857e-19
 147.7000000       9.51236e-19       9.51236e-19
 147.8000000       9.55614e-19       9.55614e-19
 147.9000000       9.59993e-19       9.59993e-19
 148.0000000       9.64372e-19       9.64372e-19
 148.1000000       9.68750e-19       9.68750e-19
 148.2000000       9.73129e-19       9.73129e-19
 148.3000000       9.77508e-19       9.77508e-19
 148.4000000       9.81886e-19       9.81886e-19
 148.5000000       9.86265e-19       9.86265e-19
 148.6000000       9.90643e-19       9.90643e-19
 148.7000000       9.95022e-19       9.95022e-19
 148.8000000       9.99401e-19       9.99401e-19
 148.9000000       1.00378e-18       1.00378e-18
 149.0000000       1.00816e-18       1.00816e-18
 149.1000000       1.01254e-18       1.01254e-18
 149.2000000       1.01692e-18       1.01692e-18
